<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.10.18	0.51970	0.52300	0.51550	0.51970	3339	0	50
2000.10.19	0.51960	0.52420	0.51750	0.52420	3102	0	50
2000.10.20	0.52430	0.53020	0.52430	0.52950	3273	0	50
2000.10.22	0.53160	0.53220	0.52850	0.52850	415	0	50
2000.10.23	0.52900	0.53150	0.52510	0.52560	3467	0	50
2000.10.24	0.52530	0.53120	0.52370	0.52790	4234	0	50
2000.10.25	0.52800	0.52820	0.51670	0.51950	4532	0	50
2000.10.26	0.51850	0.52200	0.51460	0.51870	3757	0	50
2000.10.27	0.51830	0.52500	0.51830	0.52310	2937	0	50
2000.10.29	0.52330	0.52340	0.52240	0.52270	221	0	50
2000.10.30	0.52260	0.52790	0.51820	0.51870	4251	0	50
2000.10.31	0.51900	0.52300	0.51100	0.51960	4485	0	50
2000.11.01	0.51960	0.52670	0.51880	0.52310	3211	0	50
2000.11.02	0.52320	0.53400	0.51770	0.52350	5028	0	50
2000.11.03	0.52330	0.53130	0.52220	0.52600	3765	0	50
2000.11.05	0.52720	0.52810	0.52580	0.52600	381	0	50
2000.11.06	0.52600	0.52980	0.52550	0.52640	3864	0	50
2000.11.07	0.52650	0.53270	0.52490	0.53170	4215	0	50
2000.11.08	0.53190	0.53260	0.52240	0.52240	3644	0	50
2000.11.09	0.52250	0.52920	0.52220	0.52730	3420	0	50
2000.11.10	0.52720	0.52950	0.51850	0.51870	3371	0	50
2000.11.12	0.51930	0.52100	0.51870	0.52000	334	0	50
2000.11.13	0.51990	0.52250	0.51900	0.52210	3231	0	50
2000.11.14	0.52200	0.52250	0.51740	0.51870	3063	0	50
2000.11.15	0.51880	0.52420	0.51800	0.52130	3657	0	50
2000.11.16	0.52140	0.52170	0.51770	0.51990	2863	0	50
2000.11.17	0.52010	0.52170	0.51820	0.51860	2571	0	50
2000.11.19	0.51890	0.51990	0.51800	0.51860	302	0	50
